Корень	0. ступень	Гуна	Вриддхи
dīkṣ	496	0	0
kṣubh	496	0	0
druh	495	0	0
śī	493	0	0
ās	490	0	0
dhā	488	0	0
pṛcch	487	0	0
gā	486	0	18
dhāv	485	0	6
niś	485	0	0
aś	481	0	0
ṛch	480	0	0
vṛṣ	480	31	12
krand	479	0	0
tṛp	479	0	0
bhraṁś	479	0	0
las	479	0	0
sādh	479	0	4
guh	477	0	0
prach	477	0	0
grah	475	0	0
miś	475	0	0
vṛ	473	0	0
sphuṭ	473	0	0
kliś	472	0	0
dīp	472	0	0
bandhay	472	0	0
śliṣ	472	0	0
ha	472	0	0
pā	471	0	0
lajj	471	0	0
yodhay	469	0	114
dūṣay	468	0	54
sū	468	0	0
gup	467	0	0
prāṇ	466	0	0
prasāday	466	0	69
prasthā	466	0	0
smi	465	0	0
sved	465	0	0
hā	465	0	0
jāgṛ	464	0	0
jinv	464	0	0
tra	464	0	0
pī	464	0	0
pramuc	464	0	0
vya	464	0	0
śrath	464	0	0
śri	464	0	0
su	464	0	0
stu	463	0	0
krand	462	0	0
tvar	462	0	0
phal	462	0	0
bhikṣ	462	0	0
rañj	462	0	0
samādhā	462	0	0
sru	462	0	0
hā	462	0	0
krand	460	0	0
kṣar	460	0	0
kṣam	459	0	0
gā	459	0	0
ghūrṇ	459	0	0
jṛ	459	0	0
jñā	459	0	0
tuj	459	0	0
tūrv	459	0	0
tolay	459	0	0
tuṣ	459	0	0
tṛṣ	459	0	0
daṁś	459	0	0
dabh	459	0	0
dāś	459	0	0
dīv	459	0	0
dṛp	459	0	0
dhraj	459	0	0
dhvan	459	0	0
nakṣ	459	0	0
nam	459	0	0
nard	459	0	0
naś	459	0	0
nū	459	0	0
pat	459	0	0
piṣ	459	0	0
puṣ	459	0	0
pṛ	459	0	0
pṛc	459	0	0
pre	459	0	0
bhañj	459	0	0
mad	459	0	0
mantray	459	0	108
mārjay	459	0	0
mṛj	459	0	0
yat	459	0	0
yājay	459	0	0
yudh	459	0	0
racay	459	0	0
rabh	459	0	0
rā	459	0	0
rādh	459	0	0
ri	459	0	0
riṣ	459	0	0
ruc	459	0	0
ru	459	0	0
ruj	459	0	0
rud	459	0	0
rudh	459	0	0
ruṣ	459	0	0
recay	459	0	0
rocay	459	0	4
laṅgh	459	0	0
lamb	459	0	0
lal	459	0	0
lālay	459	0	0
lī	459	0	0
lup	459	0	0
lubh	459	0	0
lū	459	0	0
vṛ	459	0	0
vṛ	459	0	0
vṛj	459	0	0
śak	459	0	0
śaṅk	459	0	0
śās	459	0	0
śiṣ	459	0	0
śuc	459	0	0
śuṣ	459	0	0
śobhay	459	0	0
śvas	459	0	0
sañj	459	0	0
sac	459	0	0
san	459	0	0
sidh	459	0	0
sīv	459	0	0
su	459	0	0
sū	459	0	0
sṛ	459	0	0
sṛp	459	0	0
skand	459	0	0
skhal	459	0	0
stṛ	459	0	0
sthā	459	0	0
snā	459	0	0
snih	459	0	0
sparś	459	0	0
spṛdh	459	0	0
spṛś	459	0	0
sphūrj	459	0	0
sraṁs	459	0	0
svad	459	0	0
svar	459	0	0
hā	459	0	0
hā	459	0	0
hi	459	0	0
hiṁs	459	0	0
hṛ	459	0	0
hṛṣ	459	0	0
hve	459	0	0
kath	456	0	0
kīrtay	456	0	70
gā	456	0	0
gup	456	0	0
gṛ	456	0	0
ghṛ	456	0	0
cintay	456	0	48
ceṣṭ	456	0	0
chand	456	0	0
jalp	456	0	0
jāray	456	0	48
jṛ	456	0	0
takṣ	456	0	0
tan	456	0	0
tap	456	0	0
tarkay	456	0	0
tṛd	456	0	0
tṛ	456	0	0
dhanv	456	0	0
dhū	456	0	0
dhṛṣ	456	0	0
nad	456	0	0
nāday	456	0	0
nāmay	456	0	0
niryā	456	0	0
nirvah	456	0	0
nirvṛt	456	0	0
niścāray	456	0	0
niśri	456	0	0
nistṛ	456	0	0
pakṣ	456	0	0
paṭh	456	0	0
paryāp	456	0	0
pāṭay	456	0	8
pāday	456	0	0
pāyay	456	0	0
pī	456	0	0
pīḍ	456	0	0
puṭ	456	0	0
pū	456	0	0
pūr	456	0	0
pūray	456	0	0
pṛ	456	0	0
pṛth	456	0	0
prekṣ	456	0	0
preṣay	456	0	0
prokṣ	456	0	0
plu	456	0	0
plāvay	456	0	0
band	456	0	0
bandhay	456	0	0
bodhay	456	0	0
bhrāj	456	0	0
bhrāmay	456	0	0
mad	456	0	0
marday	456	0	42
mā	456	0	0
māray	456	0	0
mih	456	0	0
mī	456	0	0
mīl	456	0	0
muh	456	0	0
mūrch	456	0	0
mūrchay	456	0	0
mṛś	456	0	0
mṛṣ	456	0	0
yaj	456	0	0
yātay	456	0	0
yāpay	456	0	0
yāvay	456	0	0
yu	456	0	0
yuyuts	456	0	0
rañjay	456	0	0
ramay	456	0	0
ras	456	0	0
rāmay	456	0	0
rā	456	0	0
rādh	456	0	0
ri	456	0	0
riṣ	456	0	0
ru	456	0	0
ruj	456	0	0
rudh	456	0	0
ruṣ	456	0	0
recay	456	0	0
rocay	456	0	0
laṅgh	456	0	0
lamb	456	0	0
lal	456	0	0
lālay	456	0	0
lī	456	0	0
lup	456	0	0
lubh	456	0	0
lū	456	0	0
vṛ	456	0	0
vṛ	456	0	0
vṛj	456	0	0
śak	456	0	0
śaṅk	456	0	0
śās	456	0	0
śiṣ	456	0	0
śuc	456	0	0
śuṣ	456	0	0
śobhay	456	0	0
śvas	456	0	0
sañj	456	0	0
sac	456	0	0
san	456	0	0
sidh	456	0	0
sīv	456	0	0
su	456	0	0
sū	456	0	0
sṛ	456	0	0
sṛp	456	0	0
skand	456	0	0
skhal	456	0	0
stṛ	456	0	0
sthā	456	0	0
snā	456	0	0
snih	456	0	0
sparś	456	0	0
spṛdh	456	0	0
spṛś	456	0	0
sphūrj	456	0	0
sraṁs	456	0	0
svad	456	0	0
svar	456	0	0
hā	456	0	0
hā	456	0	0
hi	456	0	0
hiṁs	456	0	0
hṛ	456	0	0
hṛṣ	456	0	0
hve	456	0	0
akṣ	5	0	0
añc	6	0	0
aj	23	0	0
añj	13	0	0
aṭ	4	0	0
at	1	0	0
ad	20	0	0
an	2	0	0
arc	17	0	0
arh	11	0	0
aś	39	0	0
as	17	0	0
āp	12	0	0
ās	16	0	0
i	17	0	0
iṅg	2	0	0
indh	8	0	0
iṣ	36	0	0
īkṣ	11	0	0
īḍ	6	0	0
īr	4	0	0
īrṣy	2	0	0
īś	8	0	0
īh	5	0	0
ukṣ	5	0	0
uc	6	0	0
ujh	3	0	0
uñch	1	0	0
und	6	0	0
ubj	5	0	0
ūh	24	0	0
ṛj	5	0	0
ṛdh	9	0	0
ṛṣ	5	0	0
kath	5	0	0
kam	3	0	0
kamp	6	0	0
kal	1	0	0
kaṣ	4	0	0
kāṅkṣ	10	0	0
kāś	2	0	0
kās	2	0	0
kuñc	1	0	0
kup	7	0	0
kūj	6	0	0
kṛ	69	0	0
kṛt	12	0	0
kṛp	5	0	0
kṛś	6	0	0
kṛṣ	35	0	0
kﾱp	13	0	0
krand	8	0	0
kram	16	0	0
krī	6	0	0
krīḍ	12	0	0
krudh	7	0	0
kruś	11	0	0
klam	1	0	0
klid	3	0	0
kliś	8	0	0
kvaṇ	2	0	0
kṣad	3	0	0
kṣan	4	0	0
kṣam	14	0	0
kṣar	7	0	0
kṣi	22	0	0
kṣip	26	0	0
kṣu	1	0	0
kṣud	5	0	0
kṣudh	1	0	0
kṣubh	5	0	0
kṣviḍ	3	0	0
khan	5	0	0
khād	4	0	0
khid	7	0	0
khud	1	0	0
khel	4	0	0
khyā	11	0	0
gad	5	0	0
gam	30	0	0
garj	4	0	0
garh	7	0	0
gal	2	0	0
gā	36	0	0
gāh	8	0	0
guñj	1	0	0
gup	5	0	0
gur	4	0	0
guh	17	0	0
gṛ	14	0	0
gṛdh	5	0	0
granth	3	0	0
grah	26	0	0
gras	11	0	0
glah	2	0	0
glā	4	0	0
ghaṭ	7	0	0
ghas	4	0	0
ghuṣ	5	0	0
ghūrṇ	5	0	0
ghṛṣ	4	0	0
ghrā	5	0	0
cakṣ	4	0	0
cañc	1	0	0
caṭ	2	0	0
car	24	0	0
carv	2	0	0
cal	7	0	0
cāy	2	0	0
ci	28	0	0
cit	9	0	0
cud	5	0	0
cumb	8	0	0
ceṣṭ	7	0	0
cyu	10	0	0
chand	4	0	0
chid	18	0	0
jakṣ	4	0	0
jan	22	0	0
jap	7	0	0
jabh	3	0	0
jalp	6	0	0
ji	32	0	0
jinv	6	0	0
jīv	22	0	0
juṣ	17	0	0
jū	6	0	0
jṛ	16	0	0
jṛmbh	4	0	0
jñā	19	0	0
jyā	2	0	0
jvar	4	0	0
jval	7	0	0
ṭaṅk	1	0	0
ḍhauk	4	0	0
tak	2	0	0
takṣ	12	0	0
taḍ	1	0	0
tan	19	0	0
tap	28	0	0
tam	4	0	0
tij	2	0	0
tim	2	0	0
tuj	8	0	0
tud	9	0	0
tūrv	2	0	0
tuṣ	7	0	0
tṛ	38	0	0
tṛd	4	0	0
tṛp	13	0	0
tṛṣ	4	0	0
bhū	22	0	0
dru	9	0	0
dhanv	3	0	0
nakṣ	8	0	0
naś	10	0	0
nī	23	0	0
nū	8	0	0
pat	24	0	0
brū	18	0	0
yā	14	0	0
vac	21	0	0
vañc	7	0	0
vad	24	0	0
vṛt	17	0	0
muc	31	0	0
han	26	0	0
vas	8	0	0
vyadh	7	0	0
sad	22	0	0
nṛt	6	0	0
dhāv	10	0	0
sū	11	0	0
bhuj	16	0	0
man	27	0	0
yat	12	0	0
yam	20	0	0
yuj	31	0	0
ruh	11	0	0
vap	8	0	0
vas	9	0	0
vid	16	0	0
śri	12	0	0
vṛj	20	0	0
vṛdh	25	0	0
vyadh	3	0	0
śī	16	0	0
su	11	0	0
skand	5	0	0
sthā	19	0	0
svan	4	0	0
sṛp	6	0	0
sṛ	15	0	0
syand	8	0	0
tvar	6	0	0
dagh	3	0	0
dah	24	0	0
dā	37	0	0
dāś	5	0	0
dīv	12	0	0
diś	8	0	0
dṛp	2	0	0
dhyā	14	0	0
nam	14	0	0
śvas	6	0	0
stan	5	0	0
nu	1	0	0
nud	12	0	0
pad	7	0	0
paś	15	0	0
pā	28	0	0
pū	16	0	0
pṛ	7	0	0
pracch	15	0	0
naś	9	0	0
vah	23	0	0
vā	10	0	0
ve	7	0	0
śaṁs	15	0	0
śru	20	0	0
hā	24	0	0
bhā	6	0	0
bhūṣ	5	0	0
bhṛ	28	0	0
yaj	17	0	0
ric	11	0	0
ruc	13	0	0
laṅgh	2	0	0
vāś	6	0	0
vṛ	24	0	0
vṛṣ	12	0	0
vraj	3	0	0
śaṅk	8	0	0
śā	3	0	0
śiṣ	3	0	0
śubh	18	0	0
śliṣ	3	0	0
stu	24	0	0
sṛj	22	0	0
sev	10	0	0
dhvaṁs	4	0	0
vṛh	7	0	0
sraṁs	4	0	0
sru	7	0	0
hṛ	14	0	0
hvā	13	0	0
dham	9	0	0
dhṛ	16	0	0
spṛdh	7	0	0
spṛś	20	0	0
hu	9	0	0
labh	18	0	0
lip	5	0	0
lī	3	0	0
lubh	3	0	0
śak	14	0	0
śap	10	0	0
śās	14	0	0
śuṣ	7	0	0
śrath	4	0	0
sac	15	0	0
sidh	11	0	0
stubh	3	0	0
rabh	6	0	0
smṛ	8	0	0
sphur	5	0	0
dṛh	7	0	0
das	3	0	0
av	9	0	0
lup	5	0	0
mṛś	6	0	0
pac	17	0	0
paṭh	7	0	0
piṣ	8	0	0
puṣ	16	0	0
kampay	3	0	0
ave	4	0	0
avekṣ	13	0	0
prath	7	0	0
mud	12	0	0
moday	3	0	0
sañj	6	0	0
stṛ	13	0	0
plu	5	0	0
bandh	16	0	0
bandhay	3	0	0
budh	18	0	0
bodhay	7	0	0
bhaj	17	0	0
bhāṣ	11	0	0
bhid	16	0	0
bheday	7	0	0
bhrāj	6	0	0
mad	26	0	0
maday	4	0	0
mānay	6	0	0
mā	6	0	0
māpay	6	0	0
med	4	0	0
muh	4	0	0
mohay	5	0	0
mṛ	17	0	0
māray	7	0	0
mṛj	11	0	0
mārjay	4	0	0
marśay	2	0	0
mruc	1	0	0
yojay	7	0	0
rakṣ	21	0	0
rañj	6	0	0
rañjay	4	0	0
ram	20	0	0
ramay	5	0	0
ras	8	0	0
rādh	5	0	0
riṣ	15	0	0
ri	5	0	0
ru	6	0	0
rud	16	0	0
rudh	14	0	0
rodhay	1	0	0
lambhay	2	0	0
lepay	2	0	0
lobhay	4	0	0
vāray	18	0	0
veṣṭ	4	0	0
veṣṭay	5	0	0
śikṣay	4	0	0
śāpay	1	0	0
śoṣay	8	0	0
smāray	4	0	0
khyāpay	7	0	0
kampay	2	0	0
pātay	20	0	0
pācay	2	0	0
pūray	7	0	0
poṣay	4	0	0
moday	2	0	0
yātay	6	0	0
varjay	7	0	0
śocay	6	0	0
sthāpay	14	0	0
pāday	5	0	0
pāyay	10	0	0
loḍay	3	0	0
vartay	16	0	0
varṣay	6	0	0
vrājay	1	0	0
śobhay	11	0	0
śleṣay	2	0	0
stāvay	1	0	0
sāray	3	0	0
sarjay	1	0	0
sevay	1	0	0
dhvasay	1	0	0
barhay	2	0	0
srāvay	3	0	0
hāray	3	0	0
dhmāpay	2	0	0
sāday	10	0	0
gāpay	3	0	0
dhāray	14	0	0
dhāpay	1	0	0
sparśay	4	0	0
hāvay	3	0	0
edhay	2	0	0
kāmay	11	0	0
kīrtay	12	0	0
kāray	12	0	0
karśay	2	0	0
gamay	13	0	0
cāray	4	0	0
jīvay	11	0	0
jñāpay	5	0	0
tāpay	7	0	0
dūṣay	10	0	0
darśay	15	0	0
dāray	6	0	0
dhāvay	4	0	0
nāday	5	0	0
nanday	11	0	0
nāmay	6	0	0
śāmay	2	0	0
pālay	12	0	0
pūray	3	0	0
janay	14	0	0
moday	2	0	0
yojay	6	0	0
yāpay	5	0	0
yāvay	4	0	0
vāsay	11	0	0
vāhay	9	0	0
vartay	11	0	0
śātay	6	0	0
śāmay	1	0	0
sthāpay	6	0	0
sāray	2	0	0
sṛj	11	0	0
sādhay	9	0	0
smāray	3	0	0
hāray	3	0	0
dhāray	11	0	0
kampay	2	0	0
kampay	1	0	0
tarpay	13	0	0
trāsay	4	0	0
dharṣay	3	0	0
nāhay	1	0	0
yāpay	3	0	0
lekhay	1	0	0
vadh	9	0	0
veśay	2	0	0
vī	5	0	0
sūday	10	0	0
stambhay	2	0	0
snāpay	6	0	0
snehay	2	0	0
nind	13	0	0
bhrāmay	3	0	0
lag	1	0	0
lajj	3	0	0
lajjay	4	0	0
lamb	5	0	0
lambay	3	0	0
lih	5	0	0
luṭh	3	0	0
luṇṭhay	1	0	0
lolay	1	0	0
lū	5	0	0
lokay	2	0	0
bhuj	2	0	0
smi	5	0	0
svar	3	0	0
svid	2	0	0
sveday	4	0	0
ghātay	8	0	0
hṛṣ	11	0	0
harṣay	5	0	0
hlāday	3	0	0
heṣ	3	0	0
naṭ	2	0	0
nāṭay	3	0	0
arthay	6	0	0
dā	3	0	0
nij	3	0	0
yas	1	0	0
radh	6	0	0
rad	8	0	0
trā	16	0	0
truṭ	3	0	0
daṁś	6	0	0
dam	4	0	0
damay	2	0	0
dal	1	0	0
dalay	2	0	0
ṛd	3	0	0
arday	7	0	0
mnā	3	0	0
kutsay	3	0	0
kūlay	1	0	0
kṣepay	3	0	0
khaṇḍay	6	0	0
bhaṇ	5	0	0
grāhay	6	0	0
bhī	20	0	0
ghaṭṭay	2	0	0
bhās	4	0	0
bhāsay	5	0	0
gharṣay	2	0	0
calay	3	0	0
cālay	5	0	0
cūrṇay	6	0	0
cyāvay	5	0	0
ceṣṭay	3	0	0
jvaray	1	0	0
jvalay	3	0	0
jvālay	5	0	0
tulay	6	0	0
toṣay	7	0	0
tāray	7	0	0
daṁśay	3	0	0
dambhay	3	0	0
dīpay	5	0	0
dhūnay	5	0	0
dhvaṁsay	5	0	0
dhvan	4	0	0
pīḍay	14	0	0
pothay	4	0	0
pūjay	10	0	0
piś	6	0	0
pyā	12	0	0
manthay	2	0	0
vepay	1	0	0
vardhay	8	0	0
śodhay	4	0	0
īray	7	0	0
bhañj	8	0	0
mith	2	0	0
mih	1	0	0
mṛd	7	0	0
marday	4	0	0
yodhay	9	0	0
rāmay	2	0	0
rā	5	0	0
rādhay	3	0	0
ruj	5	0	0
ribh	4	0	0
ruṣ	1	0	0
lakṣ	1	0	0
lal	4	0	0
vand	11	0	0
vanday	2	0	0
vam	7	0	0
vāmay	2	0	0
valg	2	0	0
tṛh	5	0	0
van	14	0	0
val	2	0	0
vaś	7	0	0
vāñch	7	0	0
vij	5	0	0
vejay	2	0	0
veday	5	0	0
viṣ	5	0	0
dyut	5	0	0
dyotay	3	0	0
lāpay	1	0	0
śvāsay	2	0	0
ślāgh	3	0	0
vṛ	20	0	0
varay	7	0	0
vyath	7	0	0
vyathay	4	0	0
śnath	4	0	0
ścut	2	0	0
śrī	6	0	0
śram	7	0	0
sīv	3	0	0
skhal	3	0	0
skhalay	1	0	0
stambh	7	0	0
skambh	4	0	0
snā	5	0	0
snih	2	0	0
sphūrj	2	0	0
sthāpay	1	0	0
tyaj	13	0	0
tyājay	6	0	0
dīkṣ	4	0	0
dīkṣay	3	0	0
dīp	7	0	0
du	6	0	0
duh	11	0	0
dīpay	2	0	0
dṛś	21	0	0
dviṣ	11	0	0
nand	5	0	0
śam	7	0	0
pā	13	0	0
laṅghay	5	0	0
recay	3	0	0
rocay	9	0	0
varṇay	10	0	0
vāśay	2	0	0
vīj	3	0	0
vījay	2	0	0
vṛ	15	0	0
vāś	1	0	0
vṛ	15	0	0
vṛ	15	0	0
śaṁsay	1	0	0
spṛhay	5	0	0
snu	1	0	0
spand	4	0	0
spanday	3	0	0
spṛś	10	0	0
smṛ	5	0	0
srav	6	0	0
svad	5	0	0
svāday	3	0	0
svap	10	0	0
hiṁs	11	0	0
hiṁsay	3	0	0
hras	1	0	0
hrāsay	1	0	0
uccāṭay	3	0	0
uccar	4	0	0
uccāray	4	0	0
uccal	4	0	0
ucci	1	0	0
uccyāvay	1	0	0
ucchāday	2	0	0
ucchid	5	0	0
cheday	2	0	0
ucchiṣ	3	0	0
ucchocay	1	0	0
ucchuṣ	1	0	0
ucchoṣay	2	0	0
ucchri	8	0	0
ucchvas	4	0	0
ucchvāsay	1	0	0
ujjan	1	0	0
jāgaray	3	0	0
ujji	2	0	0
tānay	1	0	0
ujjīv	5	0	0
ujjīvay	6	0	0
ujjṛmbh	1	0	0
ujjvalay	3	0	0
uḍḍī	1	0	0
utkamp	1	0	0
utkalāpay	1	0	0
utkas	1	0	0
utkāś	1	0	0
utkṛt	3	0	0
utkṛṣ	3	0	0
utkarṣay	1	0	0
utkṛ	3	0	0
utkram	6	0	0
utkramay	1	0	0
utkruś	3	0	0
kleśay	6	0	0
utkliś	1	0	0
utkṣip	6	0	0
utkhan	1	0	0
utkhid	6	0	0
uttap	1	0	0
uttāpay	1	0	0
uttam	1	0	0
uttambhay	2	0	0
kvāthay	4	0	0
kleday	1	0	0
dāhay	7	0	0
dabh	5	0	0
uttejay	3	0	0
uttṛ	6	0	0
uttāray	7	0	0
uttrāsay	1	0	0
utthā	10	0	0
utthāpay	6	0	0
utpācay	1	0	0
utpāṭay	5	0	0
utpat	5	0	0
utpad	8	0	0
utpāday	17	0	0
utpaś	1	0	0
utpā	1	0	0
utpīḍay	2	0	0
pāray	9	0	0
utprekṣ	3	0	0
utplu	1	0	0
utsad	3	0	0
utsāday	6	0	0
utsah	4	0	0
utsic	1	0	0
utsidh	1	0	0
utsṛ	3	0	0
utsāray	5	0	0
utsṛj	9	0	0
utsṛp	2	0	0
utsnā	1	0	0
utsmi	1	0	0
udaj	4	0	0
udañc	2	0	0
udan	2	0	0
udavasā	2	0	0
udīkṣ	8	0	0
udīr	3	0	0
udīray	3	0	0
udīṣ	1	0	0
udūh	3	0	0
udṛṣ	1	0	0
ude	4	0	0
udgam	3	0	0
udgamay	1	0	0
udgarj	1	0	0
udgal	1	0	0
udguh	1	0	0
udgṛ	3	0	0
udgā	7	0	0
udgranth	4	0	0
udgrah	5	0	0
udgrāhay	3	0	0
udghāṭay	6	0	0
udghṛṣ	2	0	0
uddiś	4	0	0
uddih	1	0	0
ghoṣay	6	0	0
uddīp	3	0	0
uddīpay	3	0	0
uddyotay	2	0	0
uddru	1	0	0
uddhan	3	0	0
ujjhā	2	0	0
uddhū	1	0	0
uddhṛ	12	0	0
uddhāray	2	0	0
uddharṣay	2	0	0
uddhvaṁs	3	0	0
uddhvā	1	0	0
udbandh	1	0	0
udbudh	1	0	0
udbrū	1	0	0
udbhās	2	0	0
udbhāsay	2	0	0
udbhid	4	0	0
udbhū	6	0	0
bhāvay	5	0	0
udbhṛ	2	0	0
udbhram	4	0	0
udyam	3	0	0
udyā	4	0	0
udyuj	1	0	0
udyojay	4	0	0
bhūṣay	9	0	0
udyudh	1	0	0
udrecay	1	0	0
udrudh	1	0	0
udvad	1	0	0
vāday	8	0	0
udvap	1	0	0
udvam	3	0	0
udvas	1	0	0
udvāsay	5	0	0
udvah	8	0	0
udvāhay	4	0	0
udvā	1	0	0
udvij	6	0	0
udvejay	4	0	0
udvīkṣ	3	0	0
udvṛj	1	0	0
udvṛt	4	0	0
udvartay	5	0	0
udve	2	0	0
udvepay	1	0	0
udveṣṭ	3	0	0
udveṣṭay	1	0	0
udvyudas	1	0	0
udvraj	3	0	0
unnad	2	0	0
unnam	4	0	0
unnāmay	3	0	0
unnah	1	0	0
unnī	5	0	0
unmajj	2	0	0
unmajjay	3	0	0
unmath	4	0	0
unmad	2	0	0
māday	7	0	0
unmi	1	0	0
miṣ	1	0	0
unmiṣ	2	0	0
mīl	2	0	0
mocay	3	0	0
unmīl	1	0	0
unmīlay	5	0	0
unmuc	3	0	0
unmocay	2	0	0
yājay	9	0	0
yāmay	2	0	0
yāsay	1	0	0
unmūlay	7	0	0
unmṛj	1	0	0
unmārjay	1	0	0
unmṛd	2	0	0
unmarday	1	0	0
unmṛś	2	0	0
upakṛ	6	0	0
rāvay	2	0	0
upakṛt	2	0	0
upakṛ	1	0	0
upakﾱp	1	0	0
upakalpay	4	0	0
upakram	6	0	0
upakrīḍ	2	0	0
upakruś	3	0	0
upakṣi	2	0	0
upakṣip	4	0	0
upagam	9	0	0
upagamay	1	0	0
upaguh	3	0	0
upagā	3	0	0
upagras	1	0	0
upagrah	5	0	0
upaghrā	4	0	0
upacar	9	0	0
upaci	4	0	0
chanday	6	0	0
jambhay	3	0	0
upacchanday	1	0	0
chalay	4	0	0
upajan	4	0	0
upajanay	1	0	0
upajap	4	0	0
upajīv	5	0	0
upajīvay	1	0	0
upajñā	1	0	0
upatap	4	0	0
upatāpay	3	0	0
upatoṣay	1	0	0
upadas	1	0	0
upadah	1	0	0
upadā	2	0	0
upadiś	8	0	0
upadīpay	3	0	0
upadṛś	3	0	0
upadarśay	2	0	0
upadru	2	0	0
upadhā	5	0	0
upadhāv	2	0	0
upadhāray	5	0	0
upadhvaṁs	1	0	0
dhūpay	3	0	0
upanam	3	0	0
upanāmay	3	0	0
upanah	1	0	0
upanikṣip	2	0	0
upanipat	3	0	0
upanipad	1	0	0
upaniplu	1	0	0
upanibandh	1	0	0
upanimantray	3	0	0
upanirvartay	1	0	0
upaniveśay	3	0	0
upanivṛt	2	0	0
upaniśri	1	0	0
upaniṣkram	1	0	0
upanī	7	0	0
nāyay	3	0	0
upanud	1	0	0
upanṛt	1	0	0
upanyas	2	0	0
upapat	1	0	0
upapad	8	0	0
upapāday	4	0	0
upaparīkṣ	1	0	0
upapīḍay	1	0	0
upapṛc	1	0	0
upapratāray	1	0	0
upapravad	1	0	0
upapre	3	0	0
eṣay	2	0	0
upapreṣ	2	0	0
upaplu	4	0	0
upabrū	2	0	0
upabhakṣ	1	0	0
upabhuj	6	0	0
bhojay	5	0	0
upabhṛ	1	0	0
upamath	3	0	0
upamantray	3	0	0
upamṛj	1	0	0
upamṛd	1	0	0
upayam	7	0	0
upayā	4	0	0
upayuj	12	0	0
upayojay	1	0	0
uparacay	1	0	0
uparañjay	1	0	0
uparam	7	0	0
uparudh	4	0	0
uparuh	1	0	0
uparopay	1	0	0
upalakṣay	3	0	0
upalabh	10	0	0
upalambhay	1	0	0
lālay	3	0	0
upalikh	1	0	0
upalip	2	0	0
upalī	3	0	0
upavac	2	0	0
upavad	3	0	0
upavap	1	0	0
upavarṇay	2	0	0
upavas	8	0	0
upavah	4	0	0
upavā	1	0	0
