Bhadrabāhucarita, 1: 1;1 1;sadbodhabhānunā bhittvā janānām antaraṁ tamaḥ |;
Bhadrabāhucarita, 1: 1;1 2;yaḥ sanmatitvam āpannaḥ sanmatiḥ sanmatiṁ kriyāt ||;
Bhadrabāhucarita, 1: 1;2 1;vṛṣabhaṁ vṛṣabhaṁ vande vṛṣabhāṅkaṁ vṛṣārcitam |;
Bhadrabāhucarita, 1: 1;2 2;vṛṣatīrthapraṇetāram bhettāraṁ karmavidviṣām ||;
Bhadrabāhucarita, 1: 1;3 1;parameṣṭhipadāptānām parameṣṭhipadāptaye |;
Bhadrabāhucarita, 1: 1;3 2;parameṣṭhipadau vande satyaṁ ca parameṣṭhinam ||;
Bhadrabāhucarita, 1: 1;4 1;ārhatī bhāratī pūjyā lokālokapradīpikā |;
Bhadrabāhucarita, 1: 1;4 2;rajo vidhūya no nityaṁ tanotu vimalām matim ||;
Bhadrabāhucarita, 1: 1;5 1;sveṣṭārthasiddhikaraṇāś caraṇāḥ santu gauravāḥ |;
Bhadrabāhucarita, 1: 1;5 2;gauravāptāḥ sucaraṇais taraṇair me bhavāmbudheḥ ||;
Bhadrabāhucarita, 1: 1;6 1;śaktyā hīno .pi vakṣye .haṁ gurubhaktyā praṇoditaḥ |;
Bhadrabāhucarita, 1: 1;6 2;śrībhadrabāhucaritam yathā jñātaṁ gurūktitaḥ ||;
Bhadrabāhucarita, 1: 1;7 1;yacchrutaṁ mugdhabuddhīnām mithyāmohamahātamaḥ |;
Bhadrabāhucarita, 1: 1;7 2;dhunute tanute śuddhajainamārge .malāṁ matim ||;
Bhadrabāhucarita, 1: 1;8 1;athātra bhārate varṣe viṣaye magadhābhidhe |;
Bhadrabāhucarita, 1: 1;8 2;puraṁ rājagṛhaṁ bhāti puraṁdarapuropamam ||;
Bhadrabāhucarita, 1: 1;9 1;natāśeṣanṛpaśreṇiḥ śreṇikaḥ śreyasāṁ nidhiḥ |;
Bhadrabāhucarita, 1: 1;9 2;bhāvukaḥ pālakas tasya celanī mahiṣīśitā ||;
Bhadrabāhucarita, 1: 1;10 1;ekadāsau viśāṁ nātho viditvā vanapālataḥ |;
Bhadrabāhucarita, 1: 1;10 2;vipulādrau mahāvīrasamavasṛtim āgatām ||;
Bhadrabāhucarita, 1: 1;11 1;parānandathum āpanno .caladdevaṁ vivandiṣuḥ |;
Bhadrabāhucarita, 1: 1;11 2;tauryatrikavarārāvabadhirīkṛtadiṅmukhaḥ ||;
Bhadrabāhucarita, 1: 1;12 1;nirīkṣya surasaṁsevyaṁ kevalojjvalarociṣam |;
Bhadrabāhucarita, 1: 1;12 2;nutvā natvā samabhyarcya tasthivān narasaṁsidi ||;
Bhadrabāhucarita, 1: 1;13 1;dvidhādharmaṁ jinodgītam aśrāvīt praśrayānvitaḥ |;
Bhadrabāhucarita, 1: 1;13 2;praṇipatya tato .prākṣīt karau mukulayan nṛpaḥ ||;
Bhadrabāhucarita, 1: 1;14 1;devātra duḥṣame kāle kevalaśrutabodhakaḥ |;
Bhadrabāhucarita, 1: 1;14 2;kiyanto .gre bhaviṣyanti kiṁ kiṁ cāto bhaviṣyati ||;
Bhadrabāhucarita, 1: 1;15 1;śrutvā tadīyaṁ vyavahāraṁ vyājahāra girāṁ patiḥ |;
Bhadrabāhucarita, 1: 1;15 2;gambhīraghananirghoṣair modayan bhavyakekinaḥ ||;
Bhadrabāhucarita, 1: 1;16 1;mayi muktim ite rājan gautamākhyaḥ sudharmavāk |;
Bhadrabāhucarita, 1: 1;16 2;jambūnāmā bhaviṣyati trayo .mī kevalekṣaṇāḥ ||;
