Prasannapadā zu MMadhKār, 1, 2.2: 1;1 1;tatra nirvartako heturiti lakṣaṇāt yo hi yasya nirvartako |;
Prasannapadā zu MMadhKār, 1, 2.2: 1;2 1;utpadyamāno dharmo yenālambanenotpadyate sa |;
Prasannapadā zu MMadhKār, 1, 2.2: 1;3 1;kāraṇasyānantaro nirodhaḥ kāryasyotpattipratyayaḥ ||;
Prasannapadā zu MMadhKār, 1, 2.2: 1;4 1;tadyathā bījasyānantaro nirodho .ṅkurasyotpādapratyayaḥ |;
Prasannapadā zu MMadhKār, 1, 2.2: 1;5 1;yasmin sati yadbhavati tattasyādhipateyamiti ta ete |;
Prasannapadā zu MMadhKār, 1, 2.2: 1;6 1;ye cānye purojātasahajātapaścājjātādayasta |;
Prasannapadā zu MMadhKār, 1, 2.2: 1;7 1;īśvarādayastu pratyayā eva na sambhavantīti ||;
Prasannapadā zu MMadhKār, 1, 2.2: 1;8 1;ata evāvadhārayati pratyayo nāsti pañcama iti ||;
Prasannapadā zu MMadhKār, 1, 2.2: 1;9 1;tasmādebhyaḥ parabhūtebhyo bhāvānāmutpattirasti parata |;
Prasannapadā zu MMadhKār, 1, 2.2: 1;10 1;atrocyate naiva hi bhāvānāṁ parabhūtebhyaḥ pratyayebhya |;
Prasannapadā zu MMadhKār, 1, 2.2: 1;11 1;yasmāt ||;
Prasannapadā zu MMadhKār, 1, 3.2: 2;1 1;yadi hi hetvādiṣu parabhūteṣu pratyayeṣu samasteṣu |;
Prasannapadā zu MMadhKār, 1, 3.2: 2;2 1;na caivaṁ yadutpādātpūrvaṁ saṁbhavaḥ syāt ||;
Prasannapadā zu MMadhKār, 1, 3.2: 2;3 1;yadi syād gṛhyeta cotpādavaiyarthyaṁ ca syāt ||;
Prasannapadā zu MMadhKār, 1, 3.2: 2;4 1;tasmānna cāsti bhāvānāṁ pratyayādiṣu svabhāvaḥ ||;
Prasannapadā zu MMadhKār, 1, 3.2: 2;5 1;avidyamāne ca svabhāve nāsti parabhāvaḥ ||;
Prasannapadā zu MMadhKār, 1, 3.2: 2;6 1;bhavanaṁ bhāva utpādaḥ ||;Āyurvedadīpikā ĀVDīp zu Ca, Śār., 1, 51.2: 225 2;bhāvānāmiti śarīrādibhāvānām ||;PARTLY;+  - ādi;Prasannapadā Prasannapadā zu MMadhKār, 1, 3.2: 2 7;parebhya utpādaḥ parabhāvaḥ ||;PARTLY;+ bhavana - para;
Prasannapadā zu MMadhKār, 1, 3.2: 2;7 1;parebhya utpādaḥ parabhāvaḥ ||;
