Лемма	Тип	Класс	Залог	Форма	Лицо	Число	Время/наклонение	Примеры
jṛ	Verb	6	P.	jīrṇa			"Past Passive Participle"	"  925"
pṛ	Verb	9	Ā	pūrṇa			"Past Passive Participle"	"  892"
kṣi	Verb	9	Ā	kṣīṇa			"Past Passive Participle"	"  664"
sampṛ	Verb	3	P.	sampūrṇa			"Past Passive Participle"	"  303"
vistṛ	Verb	9	P.	vistīrṇa			"Past Passive Participle"	"  264"
ākṛ	Verb	6	P.	ākīrṇa			"Past Passive Participle"	"  263"
niṣad	Verb	1	Ā	niṣaṇṇa			"Past Passive Participle"	"  236"
viṣad	Verb	1	Ā	viṣaṇṇa			"Past Passive Participle"	"  177"
avatṛ	Verb	6	P.	avatīrṇa			"Past Passive Participle"	"  167"
paripṛ	Verb	9	P.	paripūrṇa			"Past Passive Participle"	"  156"
carv	Verb	1	Ā	cūrṇa			"Past Passive Participle"	"  141"
saṁkṛ	Verb	6	P.	saṃkīrṇa			"Past Passive Participle"	"  126"
viśṛ	Verb	4	P.	viśīrṇa			"Past Passive Participle"	"  107"
śṛ	Verb	9	Ā	śīrṇa			"Past Passive Participle"	"  102"
samākṛ	Verb	6	P.	samākīrṇa			"Past Passive Participle"	"  100"
udīr	Verb	2	P.	udīrṇa			"Past Passive Participle"	"   96"
uttṛ	Verb	6	P.	uttīrṇa			"Past Passive Participle"	"   85"
prak￞	Verb	6	P.	prakīrṇa			"Past Passive Participle"	"   80"
vikṛ	Verb	6	Ā	vikīrṇa			"Past Passive Participle"	"   79"
kṛ	Verb	6	Ā	kīrṇa			"Past Passive Participle"	"   76"
avakṛ	Verb	6	Ā	avakīrṇa			"Past Passive Participle"	"   66"
tṛ	Verb	3	P.	tīrṇa			"Past Passive Participle"	"   65"
car	Verb	1	Ā	cīrṇa			"Past Passive Participle"	"   61"
āstṛ	Verb	5	P.	āstīrṇa			"Past Passive Participle"	"   58"
prahā	Verb	3	Ā	prahīṇa			"Past Passive Participle"	"   52"
kṣud	Verb	1	Ā	kṣuṇṇa			"Past Passive Participle"	"   48"
parikṣi	Verb	5	P.	parikṣīṇa			"Past Passive Participle"	"   48"
āp￞	Verb	4	P.	āpūrṇa			"Past Passive Participle"	"   45"
ruj	Verb	6	Ā	rugṇa			"Past Passive Participle"	"   42"
viprakṛ	Verb	6	Ā	viprakīrṇa			"Past Passive Participle"	"   39"
prakṣi	Verb	5	P.	prakṣīṇa			"Past Passive Participle"	"   35"
dṛ	Verb	9	P.	dīrṇa			"Past Passive Participle"	"   26"
vitṛ	Verb	1	Ā	vitīrṇa			"Past Passive Participle"	"   22"
stṛ	Verb	5	Ā	stīrṇa			"Past Passive Participle"	"   21"
viprahā	Verb	3	P.	viprahīṇa			"Past Passive Participle"	"   20"
pratipṛ	Verb	9	P.	pratipūrṇa			"Past Passive Participle"	"   20"
udgṛ	Verb	9	P.	udgīrṇa			"Past Passive Participle"	"   19"
saṁniṣad	Verb	1	Ā	saṃniṣaṇṇa			"Past Passive Participle"	"   19"
samudīr	Verb	2	Ā	samudīrṇa			"Past Passive Participle"	"   17"
nirvā	Verb	2	P.	nirvāṇa			"Past Passive Participle"	"   15"
upaniṣad	Verb	1	P.	upaniṣaṇṇa			"Past Passive Participle"	"   14"
nistṛ	Verb	1	P.	nistīrṇa			"Past Passive Participle"	"   14"
vinikṛ	Verb	6	P.	vinikīrṇa			"Past Passive Participle"	"   14"
ācar	Verb	1	Ā	ācīrṇa			"Past Passive Participle"	"   13"
samuttṛ	Verb	1	P.	samuttīrṇa			"Past Passive Participle"	"   13"
vidṛ	Verb	4	P.	vidīrṇa			"Past Passive Participle"	"   13"
saṁstṛ	Verb	1	P.	saṃstīrṇa			"Past Passive Participle"	"   12"
upastṛ	Verb	9	Ā	upastīrṇa			"Past Passive Participle"	"   10"
nigṛ	Verb	9	P.	nigīrṇa			"Past Passive Participle"	"   10"
samāpṛ	Verb	9	P.	samāpūrṇa			"Past Passive Participle"	"   10"
upakṣi	Verb	9	P.	upakṣīṇa			"Past Passive Participle"	"    9"
saṁkṣi	Verb	9	P.	saṃkṣīṇa			"Past Passive Participle"	"    9"
anukṛ	Verb	6	P.	anukīrṇa			"Past Passive Participle"	"    8"
vraśc	Verb	6	Ā	vṛkṇa			"Past Passive Participle"	"    8"
parikṛ	Verb	6	P.	parikīrṇa			"Past Passive Participle"	"    8"
praj￞	Verb	4	P.	prajīrṇa			"Past Passive Participle"	"    8"
abhiṣyand	Verb	1	Ā	abhiṣyaṇṇa			"Past Passive Participle"	"    7"
avadṛ	Verb	2	P.	avadīrṇa			"Past Passive Participle"	"    6"
parihā	Verb	3	Ā	parihīṇa			"Past Passive Participle"	"    6"
pracar	Verb	1	Ā	pracīrṇa			"Past Passive Participle"	"    6"
samāstṛ	Verb	9	P.	samāstīrṇa			"Past Passive Participle"	"    6"
gṛ	Verb	9	P.	gīrṇa			"Past Passive Participle"	"    5"
jṛ	Verb	6	P.	jūrṇa			"Past Passive Participle"	"    5"
avaruj	Verb	6	P.	avarugṇa			"Past Passive Participle"	"    5"
āruj	Verb	6	Ā	ārugṇa			"Past Passive Participle"	"    5"
utkṛ	Verb	6	P.	utkīrṇa			"Past Passive Participle"	"    5"
upacar	Verb	1	Ā	upacīrṇa			"Past Passive Participle"	"    5"
paristṛ	Verb	9	Ā	paristīrṇa			"Past Passive Participle"	"    5"
saṁcarv	Verb	1	P.	saṃcūrṇa			"Past Passive Participle"	"    5"
niṣkṝ	Verb	6	Ā	niṣkīrṇa			"Past Passive Participle"	"    5"
abhikṛ	Verb	6	P.	abhikīrṇa			"Past Passive Participle"	"    4"
upakṛ	Verb	6	P.	upakīrṇa			"Past Passive Participle"	"    4"
nirvid	Verb	6	Ā	nirviṇṇa			"Past Passive Participle"	"    4"
parijṛ	Verb	4	Ā	parijīrṇa			"Past Passive Participle"	"    4"
pravikṛ	Verb	6	P.	pravikīrṇa			"Past Passive Participle"	"    4"
vyavakṛ	Verb	6	P.	vyavakīrṇa			"Past Passive Participle"	"    4"
saṁtṛ	Verb	1	Ā	saṃtīrṇa			"Past Passive Participle"	"    4"
saṁparipṛ	Verb	9	P.	saṃparipūrṇa			"Past Passive Participle"	"    4"
abhipṛ	Verb	9	P.	abhipūrṇa			"Past Passive Participle"	"    4"
vyākṝ	Verb	6	Ā	vyākīrṇa			"Past Passive Participle"	"    4"
anudṛ	Verb	2	P.	anudīrṇa			"Past Passive Participle"	"    3"
abhyavakṛ	Verb	6	P.	abhyavakīrṇa			"Past Passive Participle"	"    3"
praruj	Verb	6	P.	prarugṇa			"Past Passive Participle"	"    3"
praśṛ	Verb	9	P.	praśīrṇa			"Past Passive Participle"	"    3"
saṁjṛ	Verb	4	P.	saṃjīrṇa			"Past Passive Participle"	"    3"
samācar	Verb	1	Ā	samācīrṇa			"Past Passive Participle"	"    3"
abhyudīr	Verb	2	Ā	abhyudīrṇa			"Past Passive Participle"	"    3"
vijṛ	Verb	4	P.	vijīrṇa			"Past Passive Participle"	"    3"
gṛ	Verb	9	Ā	gīrṇa			"Past Passive Participle"	"    2"
apākṛ	Verb	6	P.	apākīrṇa			"Past Passive Participle"	"    2"
avaśṛ	Verb	9	P.	avaśīrṇa			"Past Passive Participle"	"    2"
avastṛ	Verb	9	Ā	avastīrṇa			"Past Passive Participle"	"    2"
udgṛ	Verb	9	P.	udgūrṇa			"Past Passive Participle"	"    2"
pariśṛ	Verb	9	P.	pariśīrṇa			"Past Passive Participle"	"    2"
prastṛ	Verb	1	P.	prastīrṇa			"Past Passive Participle"	"    2"
vivraśc	Verb	6	P.	vivṛkṇa			"Past Passive Participle"	"    2"
saṁkṣud	Verb	1	P.	saṃkṣuṇṇa			"Past Passive Participle"	"    2"
saṁtṛd	Verb	7	P.	saṃtṛṇṇa			"Past Passive Participle"	"    2"
saṁprakṛ	Verb	6	Ā	saṃprakīrṇa			"Past Passive Participle"	"    2"
anucar	Verb	1	Ā	anucīrṇa			"Past Passive Participle"	"    1"
apiśṛ	Verb	9	P.	apiśīrṇa			"Past Passive Participle"	"    1"
avakṣud	Verb	1	P.	avakṣuṇṇa			"Past Passive Participle"	"    1"
